,Team,2P%,3P%,FT%,OREB,DREB,TOV,STL,BLK,PF,All,,,,,,,,,,,,,,
1,Atlanta Hawks,48.3,35.2,81.8,11.2,33.2,11.1,6.1,4.2,16.1,145.5,,,,,,,,,,,,,,
2,Boston Celtics,47.5,37.7,81.2,9.7,35.6,11.9,5.6,4.7,16.7,153,,,,,,,,,,,,,,
3,Brooklyn Nets,48.7,37.8,80,8.2,32.3,12.6,6.5,5.6,19.3,141,,,,,,,,,,,,,,
4,Charlotte Hornets,45.7,33,74.9,11,33.5,12.2,6.7,4.5,17.4,146.5,,,,,,,,,,,,,,
5,Chicago Bulls,49,36.1,80.9,8.5,33.9,12.1,7.1,4.1,17,137.5,,,,,,,,,,,,,,
6,Cleveland Cavaliers,48.8,36.7,78,9.7,31.4,12.2,6.5,4.3,17.4,139.3,,,,,,,,,,,,,,
7,Dallas Mavericks,47.5,37.1,75.5,7.6,31.2,11.2,5.7,3.4,19,150.4,,,,,,,,,,,,,,
8,Denver Nuggets,50.4,37.9,75.1,10.1,32.9,13,6.7,4,16.6,140,,,,,,,,,,,,,,
9,Detroit Pistons,45.4,35.1,77.1,11.2,31.3,13.1,6.1,3.3,19.3,145.2,,,,,,,,,,,,,,
10,Golden State Warriors,47.9,38.5,79.4,10.5,34.1,14,6.1,3.4,18.3,153.6,,,,,,,,,,,,,,
11,Houston Rockets,45.7,32.7,75.4,13.4,32.9,13.8,6.2,3.9,17.4,146.1,,,,,,,,,,,,,,
12,Indiana Pacers,46.9,36.7,79,10.1,31.4,12.9,6.6,5,18.3,150.3,,,,,,,,,,,,,,
13,LA Clippers,47.7,38.1,78.1,9.8,33.4,12.7,6.3,3.9,17.3,143.3,,,,,,,,,,,,,,
14,Los Angeles Lakers,48.2,34.6,77.5,10,35.7,12.1,5.5,4,15.4,146.8,,,,,,,,,,,,,,
15,Memphis Grizzlies,47.5,35.1,73.3,12,34.6,11.6,7.1,4.9,17.1,150.1,,,,,,,,,,,,,,
16,Miami Heat,46,34.4,83.1,9.7,30.9,12.2,7.2,2.7,16.7,143.1,,,,,,,,,,,,,,
17,Milwaukee Bucks,47.3,36.8,74.3,11.1,37.5,12.6,5.5,4.2,15.5,153.1,,,,,,,,,,,,,,
18,Minnesota Timberwolves,49,36.5,75.5,9.1,32.8,13.4,7,4.7,18.9,144.4,,,,,,,,,,,,,,
19,New Orleans Pelicans,48,36.4,79.3,10.6,33.1,12.8,7.3,3.6,17.9,142.1,,,,,,,,,,,,,,
20,New York Knicks,47,35.4,76.1,12.6,34,11.3,5.6,3.6,17.7,150.6,,,,,,,,,,,,,,
21,Oklahoma City Thunder,46.5,35.6,80.9,11.4,32.3,11.1,7,3.5,17.9,150.4,,,,,,,,,,,,,,
22,Orlando Magic,47,34.6,78.4,10.2,33.1,13.3,6.5,4.1,17.8,142.4,,,,,,,,,,,,,,
23,Philadelphia 76ers,48.7,38.7,83.5,8.7,32.2,12.4,7,4.3,18.6,141.5,,,,,,,,,,,,,,
24,Phoenix Suns,46.7,37.4,79.3,11.8,32.4,11.8,6.2,4.6,18.6,144.4,,,,,,,,,,,,,,
25,Portland Trail Blazers,47.4,36.5,79.6,9.4,31.1,13,6,4.1,18,145.3,,,,,,,,,,,,100,,
26,Sacramento Kings,49.4,36.9,79,9.5,32.9,11.8,6.1,2.9,17.3,150.6,,,,,,,,,,,,,,
27,San Antonio Spurs,46.5,34.5,74.3,11.8,31.9,12.9,5.9,3.3,16.8,146,,,,,,,,,,,,,,
28,Toronto Raptors,45.9,33.5,78.4,12.7,30.3,10.2,8.2,4.5,17.4,146.7,,,,,,,,,,,,,,100
29,Utah Jazz,47.3,35.3,78.6,11.8,34.1,13.2,5.2,4.5,17.6,151.4,,,,,,,,,,,,,,
30,Washington Wizards,48.5,35.6,78.5,9.4,34.2,12.6,6.1,4.6,16.7,141,,,,,,,,,,,,,,
